2,Belgian-Style Ales,Abbey Dubbel,Abbey Tripel,Abt/Quadrupel,Belgian Ale,Belgian Strong Ale,Bi?re de Garde,Saison,,,,,,,,,,,,,,
3,Sour Beer,Berliner Weisse,Lambic - Faro,Lambic - Fruit,Lambic - Gueuze,Lambic - Unblended,Sour Ale/Wild Ale,,,,,,,,,,,,,,,
2,Anglo-American Ales,Altbier,Amber Ale,American Strong Ale,American Pale Ale,Barley Wine,Bitter,Brown Ale,Cream Ale,English Pale Ale,English Strong Ale,Imperial/Double IPA,Irish Ale,K?lsch,Mild Ale,Old Ale,Premium Bitter/ESB,Scotch Ale,Scottish Ale,India Pale Ale &#40;IPA&#41;,Golden Ale/Blond Ale,Traditional Ale
3,Stouts and Porters,Baltic Porter,Black IPA,Dry Stout,Foreign Stout,Imperial Stout,Imperial/Strong Porter,Porter,Stout,Sweet Stout,,,,,,,,,,,,
3,Wheat Beer,Dunkelweizen,German Hefeweizen,German Kristallweizen,Weizen Bock,Wheat Ale,Belgian White &#40;Witbier&#41;,,,,,,,,,,,,,,,
2,Lager,California Common,Doppelbock,Dortmunder/Helles,Dunkel,Dunkler Bock,Eisbock,Heller Bock,Oktoberfest/M?rzen,Malt Liquor,Pale Lager,Pilsener,Premium Lager,Schwarzbier,Zwickel/Keller/Landbier,Strong Pale Lager/Imperial Pils,Vienna,Bohemian Pilsener,Classic German Pilsener,,,
1,Non-Beer,Cider,Perry,Ice Cider/Perry,Mead,Low Alcohol,Fruit Beer,,,,,,,,,,,,,,,
2,Sake,Sak? - Daiginjo,Sak? - Futsu-shu,Sak? - Genshu,Sak? - Ginjo,Sak? - Honjozo,Sak? - Infused,Sak? - Junmai,Sak? - Koshu,Sak? - Namasak?,Sak? - Nigori,Sak? - Taru,Sak? - Tokubetsu,,,,,,,,,
0,Hybrid,Smoked,Specialty Grain,Spice/Herb/Vegetable,,,,,,,,,,,,,,,,,,
